
(186 rows affected)
Master Customer ID,First Order Date,Last Order Date,Lifetime Gross Revenue,Lifetime Discounts,Lifetime Net Revenue,Lifetime # Orders
3504,2012-12-11 05:14:00.000,2015-01-08 00:12:00.000,870.00,-55.01,634.99,6
3437,2012-12-08 21:22:00.000,2016-06-01 05:10:00.000,609.00,-10.01,598.99,27
2503,2012-11-08 17:43:00.000,2015-03-01 13:39:00.000,88.50,-10.01,33.49,4
1907,2012-10-21 02:32:00.000,2015-09-01 05:53:00.000,525.00,0.00,525.00,35
1893,2012-10-20 15:48:00.000,2016-12-01 11:11:00.000,300.00,-10.01,289.99,16
1888,2012-10-19 23:51:00.000,2013-01-01 15:27:00.000,45.00,-10.01,34.99,3
1884,2012-10-19 18:50:00.000,2012-12-01 17:09:00.000,30.00,-10.01,19.99,2
1874,2012-10-19 03:32:00.000,2012-10-19 03:32:00.000,15.00,-10.01,4.99,1
1873,2012-10-19 02:15:00.000,2012-12-01 17:01:00.000,30.00,-10.01,19.99,2
1863,2012-10-18 22:49:00.000,2015-12-22 15:13:00.000,130.50,-14.51,115.99,2
1853,2012-10-18 01:51:00.000,2013-05-01 11:00:00.000,105.00,-10.01,102.80,7
1837,2016-04-01 05:08:00.000,2018-03-01 07:32:00.000,496.83,-12.50,484.33,27
1836,2012-10-17 03:23:00.000,2012-10-17 03:23:00.000,15.00,-10.01,4.99,1
1822,2012-10-16 19:04:00.000,2013-01-01 15:08:00.000,45.00,-10.01,34.99,3
1813,2012-10-16 15:41:00.000,2013-08-01 09:30:00.000,150.00,-10.01,139.99,10
1809,2012-10-16 13:30:00.000,2012-12-01 16:32:00.000,30.00,-10.01,19.99,2
1781,2012-10-15 21:02:00.000,2012-10-15 21:02:00.000,15.00,-10.01,4.99,1
1764,2012-10-14 20:27:00.000,2014-08-01 13:57:00.000,330.00,-10.01,319.99,22
1753,2012-10-14 02:51:00.000,2013-12-01 08:41:00.000,210.00,0.00,210.00,14
1743,2012-10-13 01:10:00.000,2014-01-01 09:37:00.000,255.05,-10.01,255.04,20
1738,2012-10-12 20:33:00.000,2012-10-12 20:33:00.000,15.00,-10.01,4.99,1
1722,2012-10-12 02:32:00.000,2013-03-01 12:39:00.000,75.00,0.00,75.00,5
1718,2012-10-11 18:35:00.000,2012-10-11 18:35:00.000,15.00,-10.01,4.99,1
1711,2012-10-11 12:38:00.000,2013-02-01 16:53:00.000,60.00,-10.01,49.99,4
1692,2012-10-10 13:58:00.000,2012-11-19 14:01:00.000,58.50,-10.01,48.49,2
1688,2012-10-10 01:23:00.000,2013-02-05 05:15:00.000,60.00,-10.01,49.99,4
1687,2012-10-10 01:09:00.000,2015-09-01 05:53:00.000,568.50,-53.51,514.99,36
1658,2012-10-08 03:26:00.000,2012-10-08 03:26:00.000,165.00,-10.01,154.99,1
1649,2012-10-07 17:14:00.000,2013-03-01 12:23:00.000,75.00,-10.01,64.99,5
1647,2012-10-07 17:01:00.000,2018-05-01 15:53:00.000,925.27,-10.39,914.88,17
1644,2012-10-07 09:55:00.000,2012-12-01 15:20:00.000,30.00,-10.01,19.99,2
1628,2012-10-06 01:54:00.000,2012-10-06 01:54:00.000,15.00,-10.01,4.99,1
1621,2012-10-05 09:58:00.000,2017-09-01 08:41:00.000,104.97,-25.00,79.97,7
1615,2012-10-04 23:10:00.000,2013-03-01 12:17:00.000,75.00,-10.01,64.99,5
1613,2012-10-04 18:20:00.000,2013-05-01 10:04:00.000,171.00,0.00,171.00,2
1609,2012-10-04 01:24:00.000,2016-03-02 00:16:00.000,615.00,-10.01,610.83,41
1599,2012-10-03 18:05:00.000,2013-03-19 19:58:00.000,133.50,-16.76,71.74,3
1594,2012-10-03 13:30:00.000,2013-02-01 16:21:00.000,60.00,-10.01,49.99,4
1575,2012-10-02 16:51:00.000,2012-10-02 16:51:00.000,15.00,-10.01,4.99,1
1567,2012-10-02 03:19:00.000,2012-11-01 16:42:00.000,30.00,-10.01,19.99,2
1546,2012-10-01 23:56:00.000,2013-04-01 10:37:00.000,105.00,0.00,105.00,7
1539,2012-10-01 23:18:00.000,2014-05-01 05:41:00.000,300.00,-10.01,289.99,20
1534,2012-10-01 22:41:00.000,2014-03-01 07:48:00.000,270.00,-10.01,259.99,18
1526,2012-10-01 21:11:00.000,2013-01-01 13:39:00.000,87.00,-43.50,43.50,2
1515,2012-10-01 19:42:00.000,2013-01-01 13:35:00.000,60.00,-10.01,49.99,4
1514,2012-10-01 19:32:00.000,2013-10-01 08:15:00.000,217.50,-10.01,207.49,5
1507,2012-10-01 16:57:00.000,2012-10-01 16:57:00.000,43.50,-10.01,33.49,1
1494,2012-10-01 15:34:00.000,2012-12-01 14:24:00.000,60.00,-10.01,49.99,4
1477,2012-10-01 00:30:00.000,2012-12-01 14:16:00.000,45.00,-10.01,34.99,3
1456,2012-09-30 19:05:00.000,2014-09-01 05:24:00.000,360.00,0.00,360.00,24
1451,2012-09-30 16:12:00.000,2012-09-30 16:12:00.000,15.00,-10.01,4.99,1
1449,2012-09-30 13:55:00.000,2013-02-01 15:45:00.000,75.00,-10.01,64.99,5
1433,2012-09-30 01:13:00.000,2013-02-01 15:39:00.000,150.00,-10.01,139.99,5
1421,2012-09-29 19:03:00.000,2013-01-05 02:25:00.000,65.99,-10.01,55.98,4
1416,2012-09-29 17:46:00.000,2013-04-01 10:04:00.000,105.00,-10.01,94.99,7
1406,2012-09-29 02:13:00.000,2012-12-01 13:46:00.000,45.00,0.00,45.00,3
1401,2012-09-28 22:41:00.000,2012-09-28 22:41:00.000,43.50,-10.01,33.49,1
1398,2012-09-28 20:36:00.000,2013-12-01 08:06:00.000,225.00,-10.01,214.99,15
1396,2012-10-30 21:17:00.000,2012-10-30 21:17:00.000,15.00,-10.01,4.99,1
1382,2012-09-28 15:39:00.000,2018-05-01 12:45:00.000,600.00,-10.01,589.99,37
1379,2012-09-28 07:19:00.000,2013-06-01 13:25:00.000,513.00,-10.01,502.99,6
1375,2012-09-28 02:37:00.000,2014-12-01 15:21:00.000,391.50,0.00,391.50,10
1373,2012-09-28 02:04:00.000,2013-02-01 15:18:00.000,75.00,0.00,75.00,5
1369,2012-09-27 22:24:00.000,2014-12-02 01:18:00.000,216.00,-16.76,199.24,3
1363,2013-06-01 08:49:00.000,2016-04-18 19:42:00.000,604.92,0.00,604.92,35
1361,2012-09-27 17:39:00.000,2012-09-27 17:39:00.000,15.00,-10.01,4.99,1
1353,2012-09-27 13:35:00.000,2012-09-27 13:35:00.000,15.00,-10.01,4.99,1
