,Country ISO Code,Country,Source URL's
0,NO,NORWAY,http://www.luftkvalitet.info/home.aspx
1,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=340800
2,CN,CHINA,http://www.stateair.net/web/post/1/1.html
3,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=340300
4,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=341600
5,CN,CHINA,http://www.stateair.net/web/post/1/2.html
6,CN,CHINA,http://www.cnemc.cn/
7,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=341700
8,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=341100
9,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=341200
10,CN,CHINA,http://www.stateair.net/web/post/1/3.html
11,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=340100
12,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=340600
13,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=340400
14,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=341000
15,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=341500
16,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=340500
17,CN,CHINA,http://www.stateair.net/web/post/1/4.html
18,CN,CHINA,http://www.stateair.net/web/post/1/5.html
19,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=341300
20,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=340700
21,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=340200
22,CN,CHINA,http://aepb.gov.cn/pages/Aepb15_SJZX_Air.aspx?CityCode=341800
23,IE,IRELAND,http://www.eea.europa.eu/themes/air/air-quality
